Incident_Date,Aircaft_Damage_Type,Time,Onboard_Total,Fatalities,Aircraft_Brand,Operator_Main,Engine_Brand,Aircraft_Age,City,lat,lng,incident_dt,weather_time_utc,temp_2m,rh_2m,dewpoint_2m,cloudcover,windspeed_10m,winddir_10m,surface_pressure,precipitation,rain,showers,snowfall,snow_depth,precipitation_probability
1997-09-26,Destroyed,13:34,234.0,234,Airbus,Garuda,Pratt Whitney,,Medan,3.5894,98.6739,1997-09-26 13:34:00,1997-09-26 13:00:00,25.0,98.0,24.7,97.0,2.9,263.0,1009.4,0.0,0.0,0.0,0.0,0.0,
1997-11-25,Substantial,10:03,2.0,0,Cessna,Air Georgian,Pratt Whitney,9.0,North Bay,46.3,-79.45,1997-11-25 10:03:00,1997-11-25 10:00:00,-2.0,81.0,-4.8,100.0,22.9,217.0,987.5,0.0,0.0,0.0,0.0,0.08,
1997-12-24,Substantial,22:48,213.0,0,Boeing,Transavia Airlines,Rolls-Royce,3.0,Amsterdam,52.3728,4.8936,1997-12-24 22:48:00,1997-12-24 22:00:00,11.2,85.0,8.8,99.0,39.6,229.0,1005.9,0.0,0.0,0.0,0.0,0.0,
1996-01-02,Substantial,17:36,5.0,0,Cessna,Jet Aviation,,1.0,Augsburg,48.3689,10.8978,1996-01-02 17:36:00,1996-01-02 17:00:00,-1.3,91.0,-2.6,95.0,3.8,319.0,953.2,0.0,0.0,0.0,0.0,0.04,
1996-07-25,Damaged beyond repair,,11.0,0,Yakovlev,NovgorodAvia,Ivchenko,24.0,Monrovia,6.3133,-10.8014,1996-07-25 12:00:00,1996-07-25 12:00:00,25.2,88.0,23.1,100.0,18.1,203.0,1012.8,0.9,0.9,0.0,0.0,0.0,
1995-03-03,Destroyed,19:43,2.0,2,Cessna,DMC Flying Service,Pratt Whitney,2.0,Gainesville,29.6804,-82.3459,1995-03-03 19:43:00,1995-03-03 19:00:00,21.2,54.0,11.5,95.0,8.6,90.0,1015.7,0.0,0.0,0.0,0.0,0.0,
1995-04-23,Damaged beyond repair,12:40,9.0,1,de,Bristow Helicopters,Pratt Whitney,16.0,Lagos,6.455,3.3841,1995-04-23 12:40:00,1995-04-23 12:00:00,28.3,85.0,25.5,100.0,8.8,215.0,1008.5,2.0,2.0,0.0,0.0,0.0,
1994-02-24,Damaged beyond repair,11:16,13.0,13,Antonov,Pulkovo,Ivchenko,23.0,Nalchik,43.4833,43.6167,1994-02-24 11:16:00,1994-02-24 11:00:00,2.0,76.0,-1.8,60.0,7.0,78.0,961.4,0.0,0.0,0.0,0.0,0.34,
1994-05-07,Damaged beyond repair,12:48,16.0,0,Embraer,RICO,,18.0,Sao Gabriel,-30.3358,-54.32,1994-05-07 12:48:00,1994-05-07 12:00:00,22.2,90.0,20.4,41.0,3.6,315.0,1002.6,0.0,0.0,0.0,0.0,0.0,
1994-07-02,Destroyed,18:43,57.0,37,McDonnell,USAir,Pratt Whitney,21.0,Charlotte,35.2083,-80.8303,1994-07-02 18:43:00,1994-07-02 18:00:00,30.6,50.0,19.1,61.0,4.7,157.0,992.5,0.0,0.0,0.0,0.0,0.0,
1994-09-18,Destroyed,8:07,39.0,5,BAC,Oriental Airlines,Rolls-Royce,24.0,Tamanrasset,22.7889,5.5256,1994-09-18 08:07:00,1994-09-18 08:00:00,23.6,42.0,9.8,5.0,12.4,248.0,870.3,0.0,0.0,0.0,0.0,0.0,
1994-12-21,Destroyed,9:53,5.0,5,Boeing,Air Alg챕rie,Pratt Whitney,,Coventry,52.4081,-1.5106,1994-12-21 09:53:00,1994-12-21 09:00:00,0.0,99.0,-0.1,45.0,9.7,15.0,1010.9,0.0,0.0,0.0,0.0,0.0,
1993-01-02,Substantial,19:42,31.0,0,Saab,Express Airlines,General Electric,,Hibbing,47.398,-92.9486,1993-01-02 19:42:00,1993-01-02 19:00:00,-9.9,77.0,-13.1,100.0,20.7,163.0,959.2,0.2,0.0,0.0,0.14,0.48,
1993-04-18,Damaged beyond repair,12:44,76.0,0,McDonnell,Japan Air System,Pratt Whitney,15.0,Morioka,39.7021,141.1545,1993-04-18 12:44:00,1993-04-18 12:00:00,1.1,77.0,-2.5,4.0,17.4,294.0,991.4,0.0,0.0,0.0,0.0,0.07,
1993-04-26,Substantial,17:22,90.0,0,McDonnell,Continental Air Lines,,8.0,Denver,39.762,-104.8758,1993-04-26 17:22:00,1993-04-26 17:00:00,17.4,28.0,-1.5,92.0,8.6,147.0,841.5,0.0,0.0,0.0,0.0,0.0,
1992-03-21,Minor,18:56,5.0,0,Cessna,private,,,Lugano,46.0103,8.9625,1992-03-21 18:56:00,1992-03-21 18:00:00,14.8,70.0,9.3,52.0,7.2,183.0,980.2,0.0,0.0,0.0,0.0,0.0,
1992-12-01,Damaged beyond repair,,,0,Canadair,Tradewinds,Rolls-Royce,,Aguadilla,18.4382,-67.1537,1992-12-01 12:00:00,1992-12-01 12:00:00,24.3,87.0,22.0,40.0,10.9,98.0,1010.2,0.0,0.0,0.0,0.0,0.0,
